Restaurant Name,Cuisine,Address,Website,Menu Section , Menu Item , Description , Price,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Chicken) , PAD PRIK KANG , Stir-fried with fine beans,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Chicken) , PAD NAM MAN HOI , Stir-fried with oyster sauce,, garlic & onions | ¬£9.50,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Chicken) , PAD CHA , Stir-fried with lemongrass,, basil & chilli | ¬£9.50,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Chicken) , PAD PRIG TAI DUM , Stir-fried with mushrooms,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Chicken) , NAM PRIG POW , Stir-fried with chilli paste,, basil and chilli | ¬£9.50,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Beef) , PAD KRA PROW , Stir-fried with basil,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Beef) , MED MAMUANG , Stir-fried with cashew nuts,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Beef) , PAD KHING , Stir-fried with ginger,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Beef) , PAD PRIK KANG , Stir-fried with fine beans,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Beef) , PAD NAM MAN HOI , Stir-fried with oyster sauce,, garlic & onions | ¬£9.95,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Beef) , PAD CHA , Stir-fried with lemongrass,, basil & chilli | ¬£9.95,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Beef) , PAD PRIG TAI DUM , Stir-fried with mushrooms,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Beef) , NAM PRIG POW , Stir-fried with chilli paste,, basil and chilli | ¬£9.95,
